r_center,r_halfwidth,k_sq,i,j,a_lo,b_lo,primes,dsu_groups,port_groups,ports_I,ports_O,ports_L,ports_R,sum_n,max_label,overflow_128,overflow_256
60000000,4096,36,131052,194314,33549312,49744384,2542,104,36,20,18,19,16,73,36,0,0
60000000,4096,36,161983,169369,41467648,43358464,2585,102,37,17,19,15,20,71,37,0,0
60000000,4096,36,74664,222158,19113984,56872448,2553,112,45,21,23,11,20,75,45,0,0
60000000,4096,36,163193,168220,41777408,43064320,2604,85,35,10,14,16,18,58,35,0,0
60000000,4096,36,107086,208474,27414016,53369344,2653,94,36,18,19,18,13,68,36,0,0
60000000,4096,36,82353,219423,21082368,56172288,2548,124,59,21,19,23,22,85,59,0,0
60000000,4096,36,81625,219693,20896000,56241408,2521,113,51,17,19,26,18,80,51,0,0
60000000,4096,36,120991,200739,30973696,51389184,2549,97,35,20,15,22,17,74,35,0,0
60000000,4096,36,83872,218853,21471232,56026368,2631,89,38,17,19,22,18,76,38,0,0
60000000,4096,36,37163,231400,9513728,59238400,2550,99,49,21,22,21,18,82,49,0,0
60000000,4096,36,157700,173398,40371200,44389888,2620,94,39,19,18,15,18,70,39,0,0
60000000,4096,36,93989,214712,24061184,54966272,2497,120,57,30,14,19,22,85,57,0,0
60000000,4096,36,141445,186887,36209920,47843072,2590,89,25,14,15,18,13,60,25,0,0
60000000,4096,36,142074,186406,36370944,47719936,2560,88,32,12,18,15,18,63,32,0,0
60000000,4096,36,55316,227743,14160896,58302208,2602,96,41,22,20,18,17,77,41,0,0
60000000,4096,36,78958,220670,20213248,56491520,2591,105,42,24,17,15,24,80,42,0,0
60000000,4096,36,87557,217399,22414592,55654144,2589,100,46,20,18,17,18,73,46,0,0
60000000,4096,36,160998,170324,41215488,43602944,2550,119,55,18,24,22,19,83,55,0,0
60000000,4096,36,119013,201891,30467328,51684096,2524,87,34,13,23,18,15,69,34,0,0
60000000,4096,36,159041,172160,40714496,44072960,2606,95,39,20,17,22,18,77,39,0,0
60000000,4096,36,23008,233235,5890048,59708160,2615,91,43,20,18,20,17,75,43,0,0
60000000,4096,36,158862,172305,40668672,44110080,2522,115,58,21,27,24,18,90,58,0,0
60000000,4096,36,25926,232932,6637056,59630592,2588,99,44,19,18,17,20,74,44,0,0
60000000,4096,36,106728,208676,27322368,53421056,2647,101,46,22,19,29,16,86,46,0,0
60000000,4096,36,140220,187820,35896320,48081920,2638,68,32,18,18,13,14,63,32,0,0
60000000,4096,36,110273,206811,28229888,52943616,2591,93,33,17,15,12,12,56,33,0,0
60000000,4096,36,163604,167823,41882624,42962688,2577,102,43,19,17,21,22,79,43,0,0
60000000,4096,36,157546,173538,40331776,44425728,2585,102,47,19,23,26,22,90,47,0,0
60000000,4096,36,88232,217145,22587392,55589120,2577,100,50,20,23,23,14,80,50,0,0
60000000,4096,36,101659,211175,26024704,54060800,2654,97,41,18,20,17,18,73,41,0,0
60000000,4096,36,31014,232328,7939584,59475968,2622,104,46,19,19,24,14,76,46,0,0
60000000,4096,36,118978,201928,30458368,51693568,2630,96,39,18,22,18,14,72,39,0,0
60000000,4096,36,7868,234239,2014208,59965184,2624,80,35,22,19,8,11,60,35,0,0
60000000,4096,36,99068,212394,25361408,54372864,2651,76,34,15,18,15,16,64,34,0,0
60000000,4096,36,92196,215492,23602176,55165952,2490,126,50,24,20,19,21,84,50,0,0
60000000,4096,36,34521,231817,8837376,59345152,2580,89,44,20,19,24,16,79,44,0,0
60000000,4096,36,144175,184782,36908800,47304192,2542,111,41,12,15,20,18,65,41,0,0
